Out,In,Out,In,Zone (Out),Zone (In)
10,3,employee,cutting-board,1,1
10,4,employee,cutting-knife ,1,1
10,8,employee,handwash-station,1,1
5,9,fruit-baskets,refrigerator ,1,1
5,0,fruit-baskets,chillblaster,1,1
3,1,cutting-board,compost-bin ,1,2
10,7,employee,sink ,1,2
11,12,employee,dry-display-shelf,1,1
11,19,employee,dry-display-shelf,1,1
11,20,employee,dry-display-shelf,1,1
11,21,employee,dry-display-shelf,1,1
11,22,employee,dry-display-shelf,1,1
11,23,employee,dry-display-shelf,1,1
11,24,employee,dry-display-shelf,1,1
11,25,employee,dry-display-shelf,1,1
11,26,employee,dry-display-shelf,1,1
11,27,employee,dry-display-shelf,1,1
11,28,employee,dry-display-shelf,1,1
11,29,employee,dry-display-shelf,1,1
11,30,employee,dry-display-shelf,1,1
26,13,dry-display-shelf,consumer-scale,1,1
27,13,dry-display-shelf,consumer-scale,1,1
6,32,employee-scale,work-table,1,1
32,5,work-table,fruit-baskets,1,1
32,2,work-table,wrapper,1,1
19,34,dry-display-shelf,consumer-scale,1,1
25,33,dry-display-shelf,consumer-scale,1,1
18,35,employee,wet-shelf-1,1,1
18,36,employee,wet-shelf-2,1,1
18,37,employee,wet-shelf-3,1,1
18,38,employee,wet-shelf-4,1,1
18,39,employee,wet-shelf-5,1,1
18,40,employee,wet-shelf-6,1,1
18,41,employee,wet-shelf-7,1,1
18,42,employee,wet-shelf-8,1,1
18,43,employee,wet-shelf-9,1,1
18,44,employee,wet-shelf-10,1,1
18,45,employee,wet-shelf-11,1,1
18,46,employee,wet-shelf-12,1,1
18,47,employee,wet-shelf-13,1,1
18,48,employee,wet-shelf-14,1,1
18,49,employee,wet-shelf-15,1,1
18,50,employee,wet-shelf-16,1,1
18,51,employee,wet-shelf-17,1,1
18,52,employee,wet-shelf-18,1,1
18,53,employee,wet-shelf-19,1,1
18,54,employee,wet-shelf-20,1,1
18,55,employee,wet-shelf-21,1,1
56,35,water-sprinkler-head-1,wet-shelf-1,1,1
56,36,water-sprinkler-head-1,wet-shelf-2,1,1
56,37,water-sprinkler-head-1,wet-shelf-3,1,1
56,38,water-sprinkler-head-1,wet-shelf-4,1,1
57,39,water-sprinkler-head-2,wet-shelf-5,1,1
57,40,water-sprinkler-head-2,wet-shelf-6,1,1
57,41,water-sprinkler-head-2,wet-shelf-7,1,1
57,42,water-sprinkler-head-2,wet-shelf-8,1,1
58,43,water-sprinkler-head-3,wet-shelf-9,1,1
58,44,water-sprinkler-head-3,wet-shelf-10,1,1
58,45,water-sprinkler-head-3,wet-shelf-11,1,1
58,46,water-sprinkler-head-3,wet-shelf-12,1,1
59,47,water-sprinkler-head-4,wet-shelf-13,1,1
60,48,water-sprinkler-head-5,wet-shelf-14,1,1
60,49,water-sprinkler-head-5,wet-shelf-15,1,1
60,50,water-sprinkler-head-5,wet-shelf-16,1,1
60,51,water-sprinkler-head-5,wet-shelf-17,1,1
61,52,water-sprinkler-head-6,wet-shelf-18,1,1
61,53,water-sprinkler-head-6,wet-shelf-19,1,1
61,54,water-sprinkler-head-6,wet-shelf-20,1,1
61,55,water-sprinkler-head-6,wet-shelf-21,1,1
35,17,wet-shelf-1,consumer-scale,1,1
36,17,wet-shelf-2,consumer-scale,1,1
37,17,wet-shelf-3,consumer-scale,1,1
38,17,wet-shelf-4,consumer-scale,1,1
39,17,wet-shelf-5,consumer-scale,1,1
40,17,wet-shelf-6,consumer-scale,1,1
41,17,wet-shelf-7,consumer-scale,1,1
42,17,wet-shelf-8,consumer-scale,1,1
43,17,wet-shelf-9,consumer-scale,1,1
44,17,wet-shelf-10,consumer-scale,1,1
45,17,wet-shelf-11,consumer-scale,1,1
46,17,wet-shelf-12,consumer-scale,1,1
47,17,wet-shelf-13,consumer-scale,1,1
48,17,wet-shelf-14,consumer-scale,1,1
49,17,wet-shelf-15,consumer-scale,1,1
50,17,wet-shelf-16,consumer-scale,1,1
51,17,wet-shelf-17,consumer-scale,1,1
52,17,wet-shelf-18,consumer-scale,1,1
53,17,wet-shelf-19,consumer-scale,1,1
54,17,wet-shelf-20,consumer-scale,1,1
55,17,wet-shelf-21,consumer-scale,1,1
20,66,dry-display-shelf,consumer-scale,1,1
23,65,dry-display-shelf,consumer-scale,1,1
24,65,dry-display-shelf,consumer-scale,1,1
22,65,dry-display-shelf,consumer-scale,1,1
21,64,dry-display-shelf,consumer-scale,1,1
28,63,dry-display-shelf,consumer-scale,1,1
29,62,dry-display-shelf,consumer-scale,1,1
12,34,dry-display-shelf,consumer-scale,1,1
30,67,dry-display-shelf,consumer-scale,1,1
20,34,dry-display-shelf,consumer-scale,1,1
22,33,dry-display-shelf,consumer-scale,1,1
29,63,dry-display-shelf,consumer-scale,1,1
